Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes,ID
Baddha Hasta Sirsasana B,बद्धहस्तशीर्षासन B,Baddhahastaśīrṣāsana B,Bound Hand Headstand B,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Baddhahastaśīrṣāsana A,Baddhahastaśīrṣāsana B,x,,,,,,,,,,,16
Baddha Hasta Sirsasana C,बद्धहस्तशीर्षासन C,Baddhahastaśīrṣāsana C,Bound Hand Headstand C,Baddha = bound; Hasta = hand; Śīrṣa = head,nāḍī śodhana,Baddhahastaśīrṣāsana B,Ūrdhva Dhanurāsana,x,,,,,,,,,,,17
Baddha Konasana A,बद्धकोणासन A,Baddhakoṇāsana A,Bound Angle Pose A,Baddha = bound; Koṇa = angle,yoga cikitsā,Kukkuṭāsana,Baddhakoṇāsana A,x,x,,,4,"Calves, knee flexors, hip extensors, shoulder extensors and retractors, internal rotators of the arm.","[[Anāhatāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Phalakāsana]], [[Uttānāsana]], [[Anāhatāsana]]. For arms and shoulders these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Intrinsic foot muscles, internal rotators of the leg, hip flexors and adductors, back extensors, transversus abdominis, shoulder stabilizers (emphasis protractors, flexors), external rotators of the arm, elbow flexors, wrist flexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Phalakāsana]], [[Uttānāsana]].","Other back bends, such as [[Rājakapotāsana]], [[Bhekāsana]], [[Dhanurāsana]], [[Kapotāsana B]], [[Laghu Vajrāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Paścimottānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]].",18
Baddha Konasana B,बद्धकोणासन B,Baddhakoṇāsana B,Bound Angle Pose B,Baddha = bound; Koṇa = angle,yoga cikitsā,Baddhakoṇāsana A,Baddhakoṇāsana B,x,,,,4,"Hip adductors, internal rotators of the leg, abdominals, chest.","[[Baddhakoṇāsana B]] and its Prep poses, [[Suptapādāṅguṣṭhāsana A]], [[Vajrāsana A]], [[Utthitatrikoṇāsana]], [[Vīrabhadrāsana B]].",The strap and bolster.,In itself a restorative that can be practiced independently or after any practice.,"Practice with a block under the sacrum or along the spine between shoulder blades; place sandbags on the thighs, or bolster along the spine.","[[Apānāsana]], [[Ānandabālāsana]], [[Supta Matsyendrāsana]], [[Sarvāṅgāsana]], [[Śavāsana]].",19
Baddha Padmasana,बद्धपद्मासन,Baddhapadmāsana,Bound Lotus Pose,Baddha = bound; Padma = lotus,samāpana,Sirsasana A,Yoga Mudra,x,,,,,,,,,,,20
Baddha Virabhadrasana,बद्धविरभद्रासन,Baddhavirabhadrāsana,Bound Warrior Pose,Baddha = bound; Virabhadra = fierce warrior (mythological figure); Āsana = posture,,,,,x,x,Vitalidad,,,,,,,,21
Bakasana A,बकासन A,Bakāsana A,Crane Pose A,Baka = crane,nāḍī śodhana,Supta Vajrāsana,Bakāsana A,x,,,,,,,,,,,22
Bakasana B,बकासन B,Bakāsana B,Crane Pose B,Baka = crane,nāḍī śodhana,Bakāsana A,Bakāsana B,x,,x,Vitalidad,10,"Wrist flexors, shoulder elevators and retractors, back extensors, hip extensors, ankle dorsiflexors.","[[Bālāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Prasāritapādottānāsana A]], [[Ekapādabakāsana A]], [[Uttānāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Phalakāsana]].","[[Tiṭṭibhāsana A]], [[Pārśvabakāsana]], [[Kouṇḍinyāsana A]], [[Śīrṣāsana B]] series, transition to pose by hopping from [[Adhomukhaśvānāsana]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]].",23
Balasana,बालासन,Bālāsana,Child’s Pose,Bāla = child; Āsana = posture,,,,,x,x,Integración,3,"Foot dorsiflexors, knee flexors, hip extensors, back extensors.",[[Apānāsana]]. In itself an  and restorative pose.,The floor—somewhat.,A preparatory or restorative to precede or follow any asana and practice.,"Utthita [[Bālāsana]], [[Anāhatāsana]], [[Vīrabhadrāsana A]], Sasangasana.","A deeply restorative pose, [[Śavāsana]].",24
Bhairavasana,भैरवासन​,Bhairavāsana,Formidable Pose,"Named after Bhairava, a fierce form of Shiva",tṛtīya śreṇī,Cakorāsana,Bhairavāsana,x,,,,,,,,,,,25
Bharadvajasana,भरद्वाजासन​,Bharadvājāsana,Sage Bharadvaja’s Twist,Named after Sage Bharadvaja,nāḍī śodhana,Bakāsana B,Bharadvājāsana,x,x,,,6,"Padma leg: hip adductors, internal rotators of the leg. Vira leg: external rotators of the leg, knee flexors, foot dorsiflexors. Hip extensors, obliques, chest. Bound arm: Shoulder flexors, external rotators of the arm. Shoulder elevators, neck rotators.","[[Ardhabaddhapadmottānāsana]] Prep, [[Bharmanāsana]], [[Gomukhāsana B]] arms, Jathara Parivarttanasana, [[Padmāsana]], [[Parivṛttotkaṭāsana]], [[Vīrabhadrāsana A]].","Pelvic floor, hip flexors, knee flexors, obliques, shoulder extensors.","[[Ardha Matsyendrāsana]], [[Baddhakoṇāsana B]], [[Padmāsana]], [[Parivṛtta Hasta Pādāṅguṣṭhāsana]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttatrikoṇāsana]], [[Parivṛttotkaṭāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","[[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Krouncāsana]], [[Ardhabaddhapadmapaścimottānāsana]].","[[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]], [[Apānāsana]], [[Bālāsana]].",26
Bharmanasana,भर्मनासन,Bharmanāsana,Table Top Pose,Bharma = support/table (Sanskrit); a stable base posture.,,,,,x,x,Integracion,3,"Wrist flexors. Cat: Back extensors, shoulder extensors and retractors. Dog: Shoulder elevators, chest, abdominals, hip extensors.",In itself an opener for any asana practice.,"Wrist and hip synergists, abdominals, back extensors, chest, shoulder stabilizers (emphasis protractors), elbow extensors.",A warming stabilizer that may precede any asana sequence.,"[[Anāhatāsana]], [[Phalakāsana]], [[Adhomukhaśvānāsana]].","[[Bālāsana]], [[Śavāsana]].",27
Bhekasana,भेकासन​,Bhekāsana,Frog Pose,Bheka = frog,nāḍī śodhana,Śalabhāsana B,Bhekāsana,x,,,,13,"Hip flexors, knee extensors, foot dorsiflexors, abdominals, chest, shoulder elevators and flexors, throat.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Prasāritapādottānāsana C]] arms, [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","Back extensors, transversus abdominis, pelvic floor, shoulders (emphasis flexors, protractors and adductors), neck.","[[Rājakapotāsana]], [[Dhanurāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","[[Vajrāsana A]], [[Naṭarājāsana A]], [[Ekapādarājakapotāsana]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Ardha Matsyendrāsana]], [[Adhomukhaśvānāsana]], [[Daṇḍāsana]], [[Paścimottānāsana A]].",28
Bhekasana B,भेकासन ब्,Bhekāsana B,Frog Pose B,Bheka = frog; Āsana = posture,,,,,x,x,Apertura,,,,,,,,29
Bhuja ,भुज,Bhuja,Arm & Shoulder Exercises,Bhuja = arms,,,,,x,,,,,,,,,,30
Bhujangasana,भुजङ्गासन,Bhujaṅgāsana,Cobra Pose,Bhujaṅga = snake/cobra; Āsana = posture,,,,,x,,,,,,,,,,31
Bhujapidasana,भुजपीडासन​,Bhujapīḍāsana,Shoulder-Pressing Pose,Bhuja = arm; Pīḍa = pressure,yoga cikitsā,Nāvāsana,Bhujapīḍāsana,x,,,,1,"Wrist flexors, shoulder retractors and elevators, hip extensors, back extensors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Garuḍāsana]], [[Kūrmāsana]], [[Mālāsana]], [[Ekapādabakāsana A]], [[Prasāritapādottānāsana A]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Prasāritapādottānāsana A]]","[[Tiṭṭibhāsana A]], [[Bakāsana B]], [[Aṣṭavakrāsana]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",32
Bitilasana,बितिलासन,Bitilāsana,Cow Pose,Bitila = cow (Sanskrit); paired with Cat Pose for spinal flexion/extension.,,,,,x,x,Integracion,,,,,,,,33
Cakorasana,चकोरासन​,Cakorāsana,Partridge Pose,Cakora = partridge (a bird),tṛtīya śreṇī,Kāśyapāsana,Cakorāsana,x,,,,,,,,,,,34
Chakrasana,चक्रासन,Cakrāsana,Wheel Pose,Cakra = wheel; Āsana = posture,,,,,,x,Apertura,,,,,,,,35
Chaturanga Dandasana,चतुरङ्गदण्डासन,Chaturāṅgadaṇḍāsana,Four-Limbed Staff Pose,Chatur = four; Aṅga = limb; Daṇḍa = staff; Āsana = posture,,,,,,x,Despertar,2,"Calves, wrist flexors, hip flexors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Phalakāsana]], [[Tāḍāsana]].","Wrist flexors, elbow synergists, chest, shoulder stabilizers (emphasis protractors, retractors, adductors and flexors), abdominals, hip flexors, knee extensors, intrinsic foot muscles.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Phalakāsana]], [[Samasthiti]], [[Tāḍāsana]], [[Ūrdhvamukhaśvānāsana]].","Surya Namaskara A and B, Nakrasana, [[Bakāsana B]].","[[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]].",36
Dandasana,दण्डासन​,Daṇḍāsana,Staff Pose,Daṇḍa = staff,yoga cikitsā,Vīrabhadrāsana B,Daṇḍāsana,x,,,,4,"Calves, knee flexors, hip extensors, elbow flexors, shoulder elevators.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","Hip flexors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder synergists (emphasis protractors, retractors, extensors), external rotators of the arm.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Uttānāsana]].","[[Paścimottānāsana]], hip openers, and twists; [[Pūrvottānāsana]]","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Baddhakoṇāsana B]], [[Sarvāṅgāsana]], [[Śavāsana]].",37
Dhanurasana,धनुरासन​,Dhanurāsana,Bow Pose,Dhanu = bow,nāḍī śodhana,Bhekāsana,Dhanurāsana,x,,x,Apertura,13,"External rotators of the leg, hip flexors, abdominals, chest, shoulder protractors and extensors, internal rotators of the arm, elbow flexors, wrist flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bharmanāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","Back extensors, hip extensors and adductors, transversus abdominis, shoulder retractors, knee extensors, foot dorsiflexors.","[[Rājakapotāsana]], [[Pūrvottānāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Ūrdhva Dhanurāsana]].","[[Pārśva Dhanurāsana]], [[Bhekāsana]],[[Rājakapotāsana]], [[Uṣṭrāsana]], [[Laghu Vajrāsana]].","[[Bālāsana]], [[Apānāsana]], [[Ardha Matsyendrāsana]], [[Supta Matsyendrāsana]].",38
Dikasana A,दिकासन A,Dikāsana A,Direction Pose A,Dikā = direction,tṛtīya śreṇī,Hanumānāsana,Dikāsana A,x,,,,,,,,,,,39
Dikasana B,दिकासन B,Dikāsana B,Direction Pose B,Dikā = direction,tṛtīya śreṇī,Dikāsana A,Dikāsana B,x,,,,,,,,,,,40
Durvasana,दुर्वासन​,Durvāsana,Sage Durvasa’s Pose,Named after Sage Durvasa,tṛtīya śreṇī,Skandāsana,Durvāsana,x,,,,,,,,,,,41
Dvipada Viparita Dandasana,द्विपादविपरीतदण्डासन,Dvipādaviparītadaṇḍāsana,Two-Legged Inverted Staff Pose,Dvipāda = two-legged; Viparīta = inverted; Daṇḍa = staff,tṛtīya śreṇī,Virañchyāsana B,Dvipādaviparītadaṇḍāsana,x,,,,4,"Shoulder elevators, extensors, and retractors, chest, abdominals, hip flexors, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Gomukhāsana B]], [[Pūrvottānāsana]], [[Ūrdhva Dhanurāsana]], [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Vīrabhadrāsana A]].","Wrist flexors, elbow flexors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip extensors and adductors, intrinsic foot muscles.","[[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Garuḍāsana]], [[Matsyāsana]], [[Piñchamayūrāsana]], [[Śīrṣāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",Eka Pada variation; walk feet in and transition to [[Piñchamayūrāsana]].,"[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]].",42
